model,accuracy,roc_auc,accuracy_delta,roc_auc_delta
DummyClassifier(most_frequent),0.59,0.5,0.0,0.0
LogReg+Scaler(C=10),0.8,0.8756373156951908,0.21000000000000008,0.37563731569519077
